Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Short name:ru,Short name:es,Data class,Data type,Members,Answers,Absolute low
,,EndTB-Export:d_sae_end,"StemTB SAE, Event end date",Event end date,Дата окончания явления,Fecha de término del evento ,Misc,Date,,,
,,EndTB-Export:sae_dur_less1d_hr,"StemTB SAE, Duration if <1 day (hrs)",hrs,час,hrs,Misc,Numeric,,,0
,,EndTB-Export:sae_dur_less1d_min,"StemTB SAE, Duration if <1 day (min)",min,мин,min,Misc,Numeric,,,0
,,,"StemTB SAE, Duration if <1 day (hrs/min)",Duration if <1 day (hrs/min),Продолжительность если <1 дня (час/мин),Duración si <1 día (hrs/min),Misc,N/A,"StemTB SAE, Duration if <1 day (hrs);
StemTB SAE, Duration if <1 day (min)",,
,,EndTB-Export:d_sae_death,"StemTB SAE, In case of death, death date",Death date,Дата смерти,Fecha de muerte,Misc,Date,,,
,,EndTB-Export:aut_sae_death,"StemTB SAE, In case of death, autopsy",Autopsy,Вскрытие,Autopsia,Misc,Coded,,True; False,
,,,"StemTB SAE, In case of death",In case of death,В случае смерти,En caso de muerte,Misc,N/A,"StemTB SAE, In case of death, death date;
StemTB SAE, In case of death, autopsy",,
,,EndTB-Export:admd_sae_hosp,"StemTB SAE, In case of hospitalization requires/prolonged, admission date",Admission date,Дата госпитализации,Fecha de admisión,Misc,Date,,,
,,EndTB-Export:disd_sae_hosp,"StemTB SAE, In case of hospitalization requires/prolonged, discharge date",Discharge date,Дата выписки,Fecha de alta,Misc,Date,,,
,,,"StemTB SAE, Hospitalization required / prolonged",Hospitalization required / prolonged,Госпитализация необходима / продлена,Hospitalización requerida/prolongada ,Misc,N/A,"StemTB SAE, In case of hospitalization requires/prolonged, admission date;
StemTB SAE, In case of hospitalization requires/prolonged, discharge date",,
985155ae-234b-11eb-adc1-0242ac1d0002,,EndTB-Export:spnsr,"StemTB, Sponsor",Sponsor,Спонсор,Patrocinador,Misc,Text,,,
98335716-234b-11eb-adc1-0242ac1e0002,,EndTB-Export:prot_id,"StemTB, Protocol/Program number",Protocol/Program number,Номер Протокола/Программы,Número de protocolo/programa,Misc,Text,,,
935357e8-234b-11eb-adc1-0242ac1d0002,,EndTB-Export:site_id,"StemTB, Site number (for studies) or country",Site number (for studies) or country,Номер участка (для исследований) или страны,Número de sitio (para estudios) o país,Misc,Text,,,
28a3fa06-33f9-11eb-adc1-0242ac120002,,EndTB-Export:1,"StemTB, Initial Report",Initial report,Первоначальный отчет,Informe inicial,Misc,N/A,,,
28a3fc90-33f9-11eb-adc1-0242ac120002,,EndTB-Export:2,"StemTB, Follow up Report",Follow-up report,Добавочный отчет,Informe de seguimiento,Misc,N/A,,,
28a3fd80-33f9-11eb-adc1-0242ac120002,,EndTB-Export:sae_unex_tb,"StemTB, SAE Unexpected with the TB drugs",Unexpected with the TB drugs?,Непредвиденная связь с ПТП?,¿Inesperado con los medicamentos de TB? ,Misc,Coded,,True; False,
28a3fe52-33f9-11eb-adc1-0242ac120002,,EndTB-Export:sae_tbrel,"StemTB, SAE Related to TB drugs",Related to TB drugs?,Связано с ПТП?,¿Relacionado a los medicamentos de TB?,Misc,Coded,,True; False,
28a3ff1a-33f9-11eb-adc1-0242ac120002,,EndTB-Export:serious,"StemTB, SAE Serious",Serious,Серьезное,Serio,Misc,Coded,,True; False,
