Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Short name:ru,Short name:pr,Data class,Data type,Members,Answers
ef69d778-bc5c-45ca-aa21-b234d51f5dbc,,EndTB-Export:5,"StemTB EOT, LFTU",Lost to Follow-up,Потерян для дальнейшего наблюдения,Perdida en el seguimiento,Misc,N/A,,
ef69d778-bc5c-45ca-aa21-b234d51f5dac,,EndTB-Export:7,"StemTB EOT, Withdrawn",Withdrawal,Снятие с лечения,Retirado,Misc,N/A,,
068d43fa-2472-11eb-adc1-0242ac120002,,EndTB-Export:1,"StemTB EOT, Shortened regimen was changed due to baseline drug resistance",Shortened regimen was changed due to baseline drug resistance,Краткосрочная схема была изменена в результате исходной лекарственной устойчивости,El régimen acortado se modificó debido a la resistencia inicial a los medicamentos,Misc,N/A,,
068d4620-2472-11eb-adc1-0242ac120002,,EndTB-Export:2,"StemTB EOT, Participant chose to end study participation",Participant chose to end study participation,Участник решил завершить участие в исследовании,El participante eligió terminar la participación en el estudio,Misc,N/A,,
068d471a-2472-11eb-adc1-0242ac120002,,EndTB-Export:reas_withdr,"StemTB EOT, If withdrawal reason for withdrawal",Reason for Withdrawal ,Причина снятия с лечения,Razón para el retiro del tratamiento ,Misc,Coded,,"StemTB EOT, Shortened regimen was changed due to baseline drug resistance;
StemTB EOT, Participant chose to end study participation;
Other"
068d47ec-2472-11eb-adc1-0242ac120002,,EndTB-Export:reas_withdr_oth,"StemTB EOT, If withdrawal other","If other, specify","Если другое, укажите","Otro, especifique",Misc,Text,,
068d48b4-2472-11eb-adc1-0242ac1d0002,,,"StemTB EOT, Withdrawal",Withdrawal,Снятие с лечения,Retirado,Misc,N/A,"StemTB EOT, If withdrawal reason for withdrawal; StemTB EOT, If withdrawal other",
716497f4-3404-11eb-adc1-0242ac120002,,EndTB-Export:d_txend,"StemTB, Tuberculosis treatment end date",Date of last day of treatment,Дата последнего дня лечения,Fecha de término del tratamiento,Misc,Date,,
71649b8c-3404-11eb-adc1-0242ac120002,,EndTB-Export:d_outdecision ,"StemTB, End of Treatment Outcome date",Date of end of treatment decision,Дата решения об окончании лечения,Fecha en que se decidió el término del tratamiento,Misc,Date,,
71649cae-3404-11eb-adc1-0242ac120002,,EndTB-Export:deathcause,"StemTB, Suspected primary cause of death",Suspected primary cause of death,Предполагаемая первичная причина смерти,Principal causa de muerte sospechada ,Misc,Coded,,"TB immediate cause of death;
TB contributing to death;
Surgery related death;
Cause other than TB;
Cause related to TB treatment;
Unknown"
71649d94-3404-11eb-adc1-0242ac120002,,EndTB-Export:deathcause_tb,"StemTB, Suspected cause related to TB treatment",Suspected cause related to TB treatment,"Предполагаемая причина, связанная с лечением ТБ",Causa sospechada relacionado al tratamiento TB ,Misc,Text,,
71649e70-3404-11eb-adc1-0242ac120002,,EndTB-Export:nontb_cause,"StemTB, Non TB cause of death",Suspected cause other than TB,"Предполагаемая причина, не связанная с ТБ",Otra causa sospechada distinta a la TB ,Misc,Text,,
71649f38-3404-11eb-adc1-0242ac120002,,EndTB-Export:reas_fail,"StemTB, Reasons for failure definition",Reasons for treatment failure,Причина неудачи лечения,Razones para el fracaso al tratamiento ,Misc,Coded,,"Lack of conversion;
Bacteriological reversion after conversion to negative;
Evidence of additional acquired resistance to fluoroquinolones or second-line injectable drugs;
Adverse drug reactions;
Other"
7164a000-3404-11eb-adc1-0242ac120002,,EndTB-Export:reas_fail_oth,"StemTB, Other reasons for failure definition","If other, specify","Если другое, укажите","Otro, especifique",Misc,Text,,
