Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Short name:ru,Short name:pr,Data class,Data type,Members,Answers,Description:en
4abef7a0-22c2-11eb-adc1-0242ac120002,,EndTB-Export:d_posttxooutcome,"StemTB PTO, Date of post-treatment outcome decision",Date of post-treatment outcome decision ,Дата проведения заключительной оценки после завершения лечения,Fecha de la decisión de resultado post-tratamiento,Question,Date,,,
4abefa0c-22c2-11eb-adc1-0242ac120002,,EndTB-Export:1,"StemTB PTO, Clinically without signs or symptoms of TB and culture negative ",Clinically without signs or symptoms of TB and culture negative ,Без клинических признаков или симптомов ТБ и отрицательный посев мокроты,Clínicamente sin signos o síntomas de tuberculosis y cultivo negativo ,Misc,N/A,,,
4abefb06-22c2-11eb-adc1-0242ac120002,,EndTB-Export:2,"StemTB PTO, Clinically without signs or symptoms of TB and no culture done",Clinically without signs or symptoms of TB and no culture done,Без клинических признаков или симптомов ТБ и без проведения посева мокроты,Clínicamente sin signos o síntomas de tuberculosis y sin cultivo realizado,Misc,N/A,,,
4abefe26-22c2-11eb-adc1-0242ac120002,,EndTB-Export:posttxoutcome_rec,"StemTB PTO, If no recurrence",If no recurrence,Если отсутствует рецидив ,Si no hay recurrencia,Misc,Coded,,"StemTB PTO, Clinically without signs or symptoms of TB and culture negative; StemTB PTO, Clinically without signs or symptoms of TB and no culture done
",
4abefef8-22c2-11eb-adc1-0242ac120002,,EndTB-Export:1,"StemTB PTO, Two positive cultures (taken on different days) irrespective of the presence of clinical signs or symptoms of TB",Two positive cultures (taken on different days) irrespective of the presence of clinical signs or symptoms of TB,"Два положительных посева (взятых в разные дни) вне зависимости от наличия 
клинических признаков или симптомов ТБ",Dos cultivos diferentes (tomado en días diferentes) independientemente de la presencia de signos o síntomas clínicos de tuberculosis,Misc,N/A,,,
4abeffc0-22c2-11eb-adc1-0242ac120002,,EndTB-Export:2,"StemTB PTO, One positive culture with clinical signs or symptoms or radiographic deterioration ",One positive culture with clinical signs or symptoms or radiographic deterioration ,"Один положительный посев с клиническими признаками или симптомами или 
ухудшение рентген картины",Un cultivo positivo con signos o síntomas clínicos o deterioro radiográfico,Misc,N/A,,,
4abf0074-22c2-11eb-adc1-0242ac120002,,EndTB-Export:rec_post,"StemTB PTO, If recurrence",If recurrence,При наличии рецидива,Si hay recurrencia,Misc,Coded,,"StemTB PTO, Two positive cultures (taken on different days) irrespective of the presence of clinical signs or symptoms of TB; StemTB PTO, One positive culture with clinical signs or symptoms or radiographic deterioration 
",
4abff074-22c2-11eb-bdc1-0242ac120002,,EndTB-Export:3,"StemTB PTO, Recurrence",Recurrence,Рецидив,Recurrencia,Misc,N/A,,,
4abf0077-22c2-11eb-ddc1-0242ac120002,,EndTB-Export:1,"StemTB PTO, No Recurrence",No recurrence,Отсутствие рецидива,Sin recurrencia,Misc,N/A,,,
,,EndTB-Export:4,"StemTB PTO, Lost to follow-up, post-treatment","Lost to follow-up, post-treatment","Потерян для дальнейшего наблюдения, после завершения лечения","Perdida al seguimiento, posterior al tratamiento",Misc,N/A,,,
4abf0132-22c2-11eb-adc1-0242ac120002,,EndTB-Export:f_posttxoutcome,"StemTB PTO, Final Post-Treatment Outcome",Final Post-Treatment Outcome,Окончательный исход после завершения лечения,Resultado final post-tratamiento,Misc,Coded,,"StemTB PTO, No Recurrence; Died post treatment; StemTB PTO, Recurrence; StemTB PTO, Lost to follow-up, post-treatment; Not Evaluated",
5c735a62-324f-11eb-adc1-0242ac111102,,EndTB-Export:deathcause_post,"StemTB PTO, If Died: Suspected Primary cause of death",If Died: Suspected Primary cause of death,"Если умер, Предположительная причина смерти",Si está Fallecido: Causa principal de muerte sospechada ,Misc,Coded,,"TB immediate cause of death;
TB contributing to death;
Surgery related death;
Cause other than TB;
Cause related to TB treatment;
Unknown",
5c735cec-324f-11eb-adc1-0242ac120002,,EndTB-Export:nontb_cause_post,"StemTB PTO, Non TB cause of post treatment death",Suspected cause other than TB,"Предполагаемая причина, не связанная с ТБ",Causa sospechada distinta a la TB,Misc,Text,,,
5c735e18-324f-11eb-adc1-0242ac120002,,,"StemTB PTO, Died",Died Post-Treatment (Patient died after finishing treatment),Умер После Завершения Лечения (Пациент умер после завершения лечения),"Fallecido, posterior al tratamiento",Misc,N/A,"6m PTO, Date of death post treatment;
StemTB PTO, If Died: Suspected Primary cause of death;
6m PTO, Type of surgery related to post treatment death;
StemTB PTO, Non TB cause of post treatment death",,
5c735f08-324f-11eb-adc1-0242ac120002,,EndTB-Export:5,"StemTB PTO, Left town region country",Left town/region/country,Покинул город/область/страну,"Se fue de la ciudad, la región, del país",Misc,N/A,,,
5c735ff8-324f-11eb-adc1-0242ac120002,,EndTB-Export:reas_nopost_fup,"StemTB PTO, 6m PTO, Reasons for no post treatment followup",Why was the patient lost to follow-up?,Почему пациент потерян для дальнейшего наблюдения?,¿Por qué no se logró hacer un seguimiento del paciente? ,Misc,Coded,,"Adverse event;
Patient refused followup;
Substance abuse;
Social problem: family, financial, complex social situation;
StemTB PTO, Left town region country;
No confidence in treatment;
Other;
Unknown",Select all that apply
