Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Short name:ru,Short name:pr,Data class,Data type,Answers,Members,Allow decimals,Units,Normal low,Normal high
,,EndTB-Export:d_postend_cont,"StemTB Quarterly PTO, Date of contact",1. Date of contact,1. Дата оценки,1. Fecha de contacto,Question,Date,,,,,,
d23ebc46-510b-498e-adbc-575f26930cca,,EndTB-Export:5,"StemTB Quarterly PTO, Physical meeting elsewhere",Physical meeting elsewhere,Встреча в другом месте,Reunión física en otro lugar,Misc,N/A,,,,,,
ebc013ef-64ec-4ee5-86fa-d245db6a3b3d,,EndTB-Export:4,"StemTB Quarterly PTO, Physical meeting in health facility",Physical meeting in health facility ,Встреча в медицинском учреждении,Reunión física en el centro de salud ,Misc,N/A,,,,,,
99410341-ae00-41b8-b7b8-9621a1c722ad,,EndTB-Export:3,"StemTB Quarterly PTO, Email",Email,Электронная почта,Correo electrónico,Misc,N/A,,,,,,
844726d3-2609-46ad-bde2-120f202b3840,,EndTB-Export:2,"StemTB Quarterly PTO, Telephone text message",Telephone text message ,Сообщение на телефон,Mensaje de texto telefónico ,Misc,N/A,,,,,,
495eec07-7c90-4b06-9859-efc84310b226,,EndTB-Export:1,"StemTB Quarterly PTO, Telephone call",Telephone call,Телефонный разговор,Llamada telefónica ,Misc,N/A,,,,,,
69a8179a-24fd-11eb-adc1-0242ac120002  ,,EndTB-Export:postend_typecont,"StemTB Quarterly PTO, Type of contact",2. Type of contact,2. Тип оценки,2. Tipo de contacto,Misc,Coded,"StemTB Quarterly PTO, Telephone call; StemTB Quarterly PTO, Telephone text message; StemTB Quarterly PTO, Email; StemTB Quarterly PTO, Physical meeting in health facility; StemTB Quarterly PTO, Physical meeting elsewhere",,,,,
d61a3c94-f3e6-4a58-a6d7-643cce6aa244,,EndTB-Export:1,"StemTB Quarterly PTO, Patient himself (see question 10)",Patient himself (go to question 5),Сам пациент (перейдите к вопросу 5),Paciente (mirar la pregunta 5),Misc,N/A,,,,,,
337ab39b-822e-4dc6-aa7c-67cae11771b7,,EndTB-Export:2,"StemTB Quarterly PTO, Patient family member",Patient family member,Член семьи больного,Miembro de familia del paciente ,Misc,N/A,,,,,,
337ab39b-822e-4dc6-ad7c-67cae11771b7,,EndTB-Export:3,"StemTB Quarterly PTO, Patient friend or acquaintance",Patient friend or acquaintance,Друг пациента или знакомый,Amigo o conocido del paciente,Misc,N/A,,,,,,
7e77999e-8638-454c-b506-3c48b32e3fae,,EndTB-Export:4,"StemTB Quarterly PTO, NTP personal",NTP personal ,Работник ТБ диспансера,Personal NTP ,Misc,N/A,,,,,,
f4d7d5e8-dcb3-4bad-9ac3-8d623a16b8bc,,EndTB-Export:5,"StemTB Quarterly PTO, Other health professional ",Other health professional ,Другой медицинский работник,Otro profesional de la salud ,Misc,N/A,,,,,,
a5805f80-33ec-4ce1-9e26-a01f2aff2e24,,EndTB-Export:6,"StemTB Quarterly PTO, Other",Other,Другое,Otro ,Misc,N/A,,,,,,
,,EndTB-Export:7,"StemTB Quarterly PTO, No contact could be made with anyone",No contact could be made with anyone,Не получилось связаться ни с кем,No se pudo establecer contacto con nadie,Misc,N/A,,,,,,
b57c1ecf-08f7-4d12-b39e-b7e55ffdf5ad,,EndTB-Export:postend_pers,"StemTB Quarterly PTO, Person from whom the information is provided/assessment made",3. Person from whom the information is provided/assessment made,"Лицо, от которого получена информация/провел оценку",3. Persona de quien se proporciona la información / evaluación,Misc,Coded,"StemTB Quarterly PTO, Patient himself (see question 10); StemTB Quarterly PTO, Patient family member; StemTB Quarterly PTO, Patient friend or acquaintance; StemTB Quarterly PTO, NTP personal; StemTB Quarterly PTO, Other health professional; StemTB Quarterly PTO, Other; StemTB Quarterly PTO, No contact could be made with anyone",,,,,
bf693558-0ac9-4df1-a9db-512ede148ff4,,EndTB-Export:1,"StemTB Quarterly PTO, patient well",Patient well,Состояние удовлетворительное,Paciente está bien,Misc,N/A,,,,,,
7824cca0-6861-4d67-a735-73cd2ba3d3c8,,EndTB-Export:2,"StemTB Quarterly PTO, patient has left and no contact",Patient has left and no contact,Пациент убыл и нет контакта с ним,Paciente se ha ido y no tiene contacto,Misc,N/A,,,,,,
d1c003fb-a298-4602-b1f0-548b58015163,,EndTB-Export:3,"StemTB Quarterly PTO, patient died",Patient died,Пациент умер,Paciente murió,Misc,N/A,,,,,,
854cbc6e-e182-48f2-b4da-83de847d1d58,,EndTB-Export:4,"StemTB Quarterly PTO, patient has symptoms",Patient has symptoms,У пациента есть симптомы,Paciente tiene síntomas,Misc,N/A,,,,,,
ea964cd4-d81e-4790-a03b-63e5b6f6807d,,EndTB-Export:5,"StemTB Quarterly PTO, patient has been diagnosed with TB and re-enrolled in TB treatment",Patient has been diagnosed with TB and re-enrolled in TB treatment,У пациента вновь диагностирован ТБ и он взят на лечение ТБ,El paciente ha sido diagnosticado con TB y se ha vuelto a inscribir en el tratamiento de TB.,Misc,N/A,,,,,,
ea964cd4-d81e-499c-a03b-63e5b5d6807d,,EndTB-Export:postend_indinfo,"StemTB Quarterly PTO, Indirect information if patient not seen in person",4. Indirect information if patient not seen in person,"Непрямая информация, если не удалось встретиться с пациентом",4. Información indirecta si al paciente no se le contacta en persona,Misc,Coded,"StemTB Quarterly PTO, patient well; StemTB Quarterly PTO, patient has left and no contact; StemTB Quarterly PTO, patient died; StemTB Quarterly PTO, patient has symptoms; StemTB Quarterly PTO, patient has been diagnosed with TB and re-enrolled in TB treatment
",,,,,
52398068-f91a-4ea2-a79e-20341db852f1,,EndTB-Export:ptnt_mnth,"StemTB Quarterly PTO, Month post end-of-treatment",Month post end-of-treatment,Месяц после завершения лечения,Mes posterior al final del tratamiento ,Misc,Text,,,,,,
e8cc45cc-f1b0-4c8f-bc0e-b8a25f775d3a,,EndTB-Export:d_postend_vst,"StemTB Quarterly PTO, EOT Visit Date",Visit date,Дата визита,Fecha de visita,Question,Date,,,,,,
05166047-1b13-4b6d-8f8d-85e57d70bf35,,EndTB-Export:ptnt_cough,"StemTB Quarterly PTO, Have you had cough for > 2 weeks",5. Have you had cough for > 2 weeks,5. Кашель > 2 недель,5. ¿Ha tenido tos por más de 2 semanas? ,Misc,Coded,True; False; Unknown,,,,,
