Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Short name:ru,Short name:pr,Data class,Data type,Answers,Members,Allow decimals,Units,Normal low,Normal high
,,EndTB-Export:d_postend_cont,"StemTB Quarterly PTO, Date of contact",1. Date of contact,,,Question,Date,,,,,,
d23ebc46-510b-498e-adbc-575f26930cca,,EndTB-Export:5,"StemTB Quarterly PTO, Physical meeting elsewhere",Physical meeting elsewhere,,,Misc,N/A,,,,,,
ebc013ef-64ec-4ee5-86fa-d245db6a3b3d,,EndTB-Export:4,"StemTB Quarterly PTO, Physical meeting in health facility",Physical meeting in health facility ,,,Misc,N/A,,,,,,
99410341-ae00-41b8-b7b8-9621a1c722ad,,EndTB-Export:3,"StemTB Quarterly PTO, Email",Email,,,Misc,N/A,,,,,,
844726d3-2609-46ad-bde2-120f202b3840,,EndTB-Export:2,"StemTB Quarterly PTO, Telephone text message",Telephone text message ,,,Misc,N/A,,,,,,
495eec07-7c90-4b06-9859-efc84310b226,,EndTB-Export:1,"StemTB Quarterly PTO, Telephone call",Telephone call,,,Misc,N/A,,,,,,
69a8179a-24fd-11eb-adc1-0242ac120002  ,,EndTB-Export:postend_typecont,"StemTB Quarterly PTO, Type of contact",2. Type of contact,,,Misc,Coded,"StemTB Quarterly PTO, Telephone call; StemTB Quarterly PTO, Telephone text message; StemTB Quarterly PTO, Email; StemTB Quarterly PTO, Physical meeting in health facility; StemTB Quarterly PTO, Physical meeting elsewhere",,,,,
d61a3c94-f3e6-4a58-a6d7-643cce6aa244,,EndTB-Export:1,"StemTB Quarterly PTO, Patient himself (see question 10)",Patient himself (go to question 5),,,Misc,N/A,,,,,,
337ab39b-822e-4dc6-aa7c-67cae11771b7,,EndTB-Export:2,"StemTB Quarterly PTO, Patient family member",Patient family member,,,Misc,N/A,,,,,,
337ab39b-822e-4dc6-ad7c-67cae11771b7,,EndTB-Export:3,"StemTB Quarterly PTO, Patient friend or acquaintance",Patient friend or acquaintance,,,Misc,N/A,,,,,,
7e77999e-8638-454c-b506-3c48b32e3fae,,EndTB-Export:4,"StemTB Quarterly PTO,  NTP personal ",NTP personal ,,,Misc,N/A,,,,,,
f4d7d5e8-dcb3-4bad-9ac3-8d623a16b8bc,,EndTB-Export:5,"StemTB Quarterly PTO, Other health professional ",Other health professional ,,,Misc,N/A,,,,,,
a5805f80-33ec-4ce1-9e26-a01f2aff2e24,,EndTB-Export:5,"StemTB Quarterly PTO, Other",Other,,,Misc,N/A,,,,,,
b57c1ecf-08f7-4d12-b39e-b7e55ffdf5ad,,EndTB-Export:postend_pers,"StemTB Quarterly PTO, Person from whom the information is provided/assessment made",3. Person from whom the information is provided/assessment made,,,Misc,Coded,"StemTB Quarterly PTO, Patient himself (see question 10); StemTB Quarterly PTO, Patient family member; StemTB Quarterly PTO, Patient friend or acquaintance; StemTB Quarterly PTO,  NTP personal; StemTB Quarterly PTO, Other health professional; StemTB Quarterly PTO, Other
",,,,,
bf693558-0ac9-4df1-a9db-512ede148ff4,,EndTB-Export:1,"StemTB Quarterly PTO, patient well",Patient well,,,Misc,N/A,,,,,,
7824cca0-6861-4d67-a735-73cd2ba3d3c8,,EndTB-Export:2,"StemTB Quarterly PTO, patient has left and no contact",Patient has left and no contact,,,Misc,N/A,,,,,,
d1c003fb-a298-4602-b1f0-548b58015163,,EndTB-Export:3,"StemTB Quarterly PTO, patient died",Patient died,,,Misc,N/A,,,,,,
854cbc6e-e182-48f2-b4da-83de847d1d58,,EndTB-Export:4,"StemTB Quarterly PTO, patient has symptoms",Patient has symptoms,,,Misc,N/A,,,,,,
ea964cd4-d81e-4790-a03b-63e5b6f6807d,,EndTB-Export:5,"StemTB Quarterly PTO, patient has been diagnosed with TB and re-enrolled in TB treatment",Patient has been diagnosed with TB and re-enrolled in TB treatment,,,Misc,N/A,,,,,,
ea964cd4-d81e-499c-a03b-63e5b5d6807d,,EndTB-Export:postend_indinfo,"StemTB Quarterly PTO, Indirect information if patient not seen in person",4. Indirect information if patient not seen in person,,,Misc,Coded,"StemTB Quarterly PTO, patient well; StemTB Quarterly PTO, patient has left and no contact; StemTB Quarterly PTO, patient died; StemTB Quarterly PTO, patient has symptoms; StemTB Quarterly PTO, patient has been diagnosed with TB and re-enrolled in TB treatment
",,,,,
52398068-f91a-4ea2-a79e-20341db852f1,,EndTB-Export:ptnt_mnth,"StemTB Quarterly PTO, Month post end-of-treatment",Month post end-of-treatment,,,Misc,Text,,,,,,
e8cc45cc-f1b0-4c8f-bc0e-b8a25f775d3a,,EndTB-Export:d_postend_vst,"StemTB Quarterly PTO, EOT Visit Date",Visit date,,,Question,Date,,,,,,
05166047-1b13-4b6d-8f8d-85e57d70bf35,,EndTB-Export:ptnt_cough,"StemTB Quarterly PTO, Have you had cough for > 2 weeks",5. Have you had cough for > 2 weeks,,,Misc,Coded,True; False; Unknown,,,,,
d55d464b-e327-42a7-8d8d-59ec199e7735,,EndTB-Export:ptnt_coughprod,"StemTB Quarterly PTO, If yes Is your cough productive","5a. If yes, Is your cough productive?",,,Misc,Coded,True; False; Unknown,,,,,
b6513547-101c-4227-9c34-9a092566b538,,EndTB-Export:ptnt_bldsptm,"StemTB Quarterly PTO, If yes Is there blood in your sputum","5b. If yes, Is there blood in your sputum?",,,Misc,Coded,True; False; Unknown,,,,,
f7b24b39-fa4d-489b-94f9-892541a54b29,,EndTB-Export:ptnt_fever,"StemTB Quarterly PTO, Do you have fever",6. Do you have fever?,,,Misc,Coded,True; False; Unknown,,,,,
2739fdae-6be3-49ca-a259-3ca88617102e,,EndTB-Export:ptnt_fever_l,"StemTB Quarterly PTO, If yes fever or how long(in days)","6a. If yes, fever or how long(in days)",,,Misc,Coded,True; False; Unknown,,,,,
d4985a11-43dd-4226-ac0a-a3929d96467c,,EndTB-Export:ptnt_ntswt,"StemTB Quarterly PTO, Do you have night sweats",7. Do you have night sweats?,,,Misc,Coded,True; False; Unknown,,,,,
8cf1e5a8-bfef-4f57-9857-4dbd9e09bd15,,EndTB-Export:ptnt_wtls,"StemTB Quarterly PTO, Have you had unexplained weight loss",8. Have you had unexplained weight loss?,,,Misc,Coded,True; False; Unknown,,,,,
9837d303-97e2-4337-b2a7-430d8d90c1f7,,,"StemTB Quarterly PTO, Clinical questions to patient only",Clinical questions to patient only,,,Misc,N/A,,"StemTB Quarterly PTO, Have you had cough for > 2 weeks; StemTB Quarterly PTO, If yes Is your cough productive; StemTB Quarterly PTO, If yes Is there blood in your sputum; StemTB Quarterly PTO, Do you have fever; StemTB Quarterly PTO, If yes fever or how long(in days); StemTB Quarterly PTO, Do you have night sweats; StemTB Quarterly PTO, Have you had unexplained weight loss
",,,,
f256a648-cdc8-4503-aae2-a768ffc2a1fa,,EndTB-Export:ptnt_crntmed,"StemTB Quarterly PTO, Any current medications being taken",10. Any current medications being taken?,,,Misc,Coded,True; False,,,,,
92855c0e-be7a-4184-8bb8-35512f763274,,EndTB-Export:ptnt_crntmed_list,"StemTB Quarterly PTO, If yes please list","10a. If yes, please list",,,Misc,Text,,,,,,
299d635f-d27f-48d9-a89a-f97f9be855a9,,EndTB-Export:ptnt_contdoc,"StemTB Quarterly PTO, Any contact with a medical practitioner since completing TB treatment",11. Any contact with a medical practitioner since completing TB treatment?,,,Misc,Coded,True; False,,,,,
c0f9d5ef-2301-47a5-bdbe-9f66540be565,,EndTB-Export:ptnt_vtpurp,"StemTB Quarterly PTO, If yes what was the purpose of visit","11a. If yes, was the visit related to a respiratory problem or respiratory illness?",,,Misc,Coded,True; False,,,,,
bf690e43-5161-45ca-9c50-97ff530a3ade,,EndTB-Export:ptnt_vtoutcome,"StemTB Quarterly PTO, What was the outcome of the visit",11b. What was the outcome of the visit?,,,Misc,Text,,,,,,
f53db077-1873-4055-9823-cec5e9a0b3ab,,,"StemTB Quarterly PTO, Medical Visits and Medications",Medical Visits and Medications,,,Misc,N/A,,"StemTB Quarterly PTO, Any current medications being taken; StemTB Quarterly PTO, If yes please list; StemTB Quarterly PTO, Any contact with a medical practitioner since completing TB treatment; StemTB Quarterly PTO, If yes what was the purpose of visit; StemTB Quarterly PTO, What was the outcome of the visit",,,,
8cb0c965-d3a3-4b62-b42b-60ab61275e2e,,EndTB-Export:hhc_tbtx,Any household contact being treated for TB,Household contact treated for TB,,,Misc,Coded,True; False; Unknown,,,,,
205a3f3a-5d02-4b15-b877-86710f444040,,EndTB-Export:hhc_tbsym,Any household contact symptomatic for TB (symptoms list as above),Household contact symptomatic for TB,,,Misc,Coded,True; False; Unknown,,,,,
e8698b25-c392-4fbb-ba4e-d59c7d53575f,,,"StemTB Quarterly PTO,  Post treatment Household Contacts",Household Contacts,,,Misc,N/A,,Any household contact being treated for TB; Any household contact symptomatic for TB (symptoms list as above),,,,
fbe03007-19ba-4975-90ff-9cf7554cdbea,,EndTB-Export:ptnt_tbrlps,"StemTB Quarterly PTO, Is patient a possible TB relapse",Is patient a possible TB relapse,,,Misc,Coded,True; False; Unknown,,,,,
8a05ca81-9a9f-4b81-8e14-f62eb05e07e9,,EndTB-Export:ptnt_culture,"StemTB Quarterly PTO, Was a culture ordered",Was a culture ordered?,,,Misc,Coded,True; False,,,,,
ae720a0b-6c1a-49ec-9ce3-e5a6eed59b03,,EndTB-Export:ptnt_diagtests,"StemTB Quarterly PTO, List all diagnostic tests ordered",List all diagnostic tests ordered:,,,Misc,Text,,,,,,
0dace0de-f6f8-47b0-975e-900d1d9b4c50,,EndTB-Export:d_ptnt_appoint,"StemTB Quarterly PTO, Date of next appointment",Date of next appointment ,,,Misc,Date,,,,,,
ba2b10c9-5398-46c8-b167-5be91de28126,,EndTB-Export:ptnt_notes,"StemTB Quarterly PTO, Notes",Notes,,,Misc,Text,,,,,,
f4fe9b32-9fbb-453d-b7d9-3b3cbebc4df4,,EndTB-Export:postendtxoutcome_compl,"StemTB Quarterly PTO, If 1 year post end-of-treatment post end of treatment outcome form filled in",Post end-of-treatment outcome completed,,,Misc,Coded,True; False,,,,,
694cfecd-be3f-4039-a5f4-8d0aa7fb795f,,,"StemTB Quarterly PTO, Action at end of assessment",Action at end of assessment,,,Misc,N/A,,"StemTB Quarterly PTO, Is patient a possible TB relapse; StemTB Quarterly PTO, Was a culture ordered; StemTB Quarterly PTO, List all diagnostic tests ordered; StemTB Quarterly PTO, Date of next appointment; StemTB Quarterly PTO, Notes",,,,
694fcead-be3f-4039-a5f4-8d0aa7fb795f,,EndTB-Export:ptnt_bpns_lft,"StemTB Quarterly PTO, BPNS Subjective score Left",Left,,,Misc,Numeric,,,No,,0,10
694cfecd-be3f-4039-a5f4-8d0aa7fb796d,,EndTB-Export:ptnt_bpns_rt,"StemTB Quarterly PTO, BPNS Subjective score Right
",Right,,,Misc,Numeric,,,No,,0,10
694cfecd-be3f-4129-a5f4-8d0aa7fb795f,,,"StemTB Quarterly PTO, Post treatment BPNS",9.  BPNS subjective score (0-10),,,Misc,N/A,,"StemTB Quarterly PTO, BPNS Subjective score Right; StemTB Quarterly PTO, BPNS Subjective score Left;

",,,,
694cfecd-be3f-4039-a5f4-8d0aa7fb786f,,EndTB-Export:outcome,"StemTB Quarterly PTO EOT, Outcome",Outcome,,,Misc,Coded,"Cured;
Completed;
Died;
Failed;
LTFU;
Not Evaluated;
Treatment adapted",,,,,
ccf90209-ce17-4813-a27a-0f30f61fd37d,,,"StemTB Quarterly PTO, Quarterly Post Treatment Template",Quarterly Post Treatment,,,Misc,N/A,,"StemTB Quarterly PTO EOT, Outcome; EOT, End of Treatment Outcome date; StemTB Quarterly PTO, Month post end-of-treatment;
StemTB Quarterly PTO, Date of contact; 
StemTB Quarterly PTO, Type of contact;
StemTB Quarterly PTO, Person from whom the information is provided/assessment made;
StemTB Quarterly PTO, Indirect information if patient not seen in person; DATE OF DEATH;
StemTB Quarterly PTO, Clinical questions to patient only;
StemTB Quarterly PTO, Post treatment BPNS;
StemTB Quarterly PTO, Medical Visits and Medications;
StemTB Quarterly PTO, Action at end of assessment",,,,
